,de,nl,en,is,pl,uk,ru,fr,et,vro,liv,vot,fi,krl,vep,ka,xmf,lzz,sva
de,0.0,2.259297479225014,3.3547736214402892,3.7189613459541007,4.265420141571036,4.322694006208497,4.225733110153399,4.359850357301817,4.202065010153246,4.212072920054589,4.284683740843161,4.234365071321591,4.2917389105794905,4.204521116296478,4.204854719890952,4.835723715913401,4.799255877564702,4.944170463682659,4.603931922985324
nl,2.259297479225014,0.0,2.9753122467271984,3.596824693020345,4.395683369234096,4.279578473056733,4.388775931529554,4.255401125304037,4.110739984653028,4.0828688318564685,4.134504451533439,4.256364301291839,4.273912145288959,4.279233595175625,4.0799998847100305,4.8253322259503,4.8630985436132494,4.998893220600538,4.607960001163884
en,3.3547736214402892,2.9753122467271984,0.0,3.999941480088537,4.6442217897034626,4.594334208464642,4.654614199541737,4.383411585717411,4.657122131759812,4.630197754473117,4.575223233556568,4.657169695575494,4.711133378162364,4.751572850123576,4.560021098064575,5.148572877739545,5.333674849116026,5.380734712442032,5.085231529527647
is,3.7189613459541007,3.596824693020345,3.999941480088537,0.0,4.4078589131961055,4.1917521058399165,4.277077069468375,4.695779651847612,4.277329125517533,4.274176822908707,4.274060614640326,4.136860281425499,4.019961678071223,4.151537114964226,4.142991665828407,4.575198211611253,4.72876106936444,4.942136379880282,4.701752474871408
pl,4.265420141571036,4.395683369234096,4.6442217897034626,4.4078589131961055,0.0,2.764516340752488,2.576911335798803,4.727790312438371,4.457654724502552,4.490784684987585,4.466682049834225,4.349026061163743,4.327153531272524,4.358358495645365,4.424485254333932,4.799932307359843,4.866584219157749,4.960768689305275,4.723578290086712
uk,4.322694006208497,4.279578473056733,4.594334208464642,4.1917521058399165,2.764516340752488,0.0,2.3419582426509105,4.675677895459447,4.260915868886886,4.25735809413346,4.307341718935922,4.145844855627466,4.108253488325951,4.138644661833066,4.223251439918105,4.6915455116542075,4.587470523997339,4.641417963114517,4.52685587066655
ru,4.225733110153399,4.388775931529554,4.654614199541737,4.277077069468375,2.576911335798803,2.3419582426509105,0.0,4.672336082915748,4.458870003413905,4.43756144513817,4.4917972392610075,4.294346769709091,4.282806025239955,4.30170088901973,4.371284701847362,4.851819651489304,4.831197757852171,4.973229453473356,4.762505994544832
fr,4.359850357301817,4.255401125304037,4.383411585717411,4.695779651847612,4.727790312438371,4.675677895459447,4.672336082915748,0.0,4.618341798438886,4.481830561563569,4.397345036301348,4.424812970201319,4.516236702887188,4.542870761924161,4.509096634217994,5.096920406993223,5.137469973923179,5.144244848288966,4.931555896677848
et,4.202065010153246,4.110739984653028,4.657122131759812,4.277329125517533,4.457654724502552,4.260915868886886,4.458870003413905,4.618341798438886,0.0,1.391489949280365,2.6476224929123475,2.1722244878041983,2.273287977454643,2.3545098707929037,2.1712794191694447,4.4397596230929555,4.412033772327889,4.589569615781955,4.419238407223845
vro,4.212072920054589,4.0828688318564685,4.630197754473117,4.274176822908707,4.490784684987585,4.25735809413346,4.43756144513817,4.481830561563569,1.391489949280365,0.0,2.711506569115265,2.1643045494494757,2.356775172989781,2.3427901646678264,2.2173548705091757,4.401489548388523,4.399916146985783,4.586970854348902,4.393788625391995
liv,4.284683740843161,4.134504451533439,4.575223233556568,4.274060614640326,4.466682049834225,4.307341718935922,4.4917972392610075,4.397345036301348,2.6476224929123475,2.711506569115265,0.0,2.652867784389525,2.5775977913659087,2.643931967120373,2.828794203964708,4.6411938437300755,4.5566592721004495,4.549605475824988,4.557350975615539
vot,4.234365071321591,4.256364301291839,4.657169695575494,4.136860281425499,4.349026061163743,4.145844855627466,4.294346769709091,4.424812970201319,2.1722244878041983,2.1643045494494757,2.652867784389525,0.0,1.515626047328946,1.7536391413203016,2.2406680741505958,4.38022931175105,4.305129143732088,4.5135826098021194,4.492976535330905
fi,4.2917389105794905,4.273912145288959,4.711133378162364,4.019961678071223,4.327153531272524,4.108253488325951,4.282806025239955,4.516236702887188,2.273287977454643,2.356775172989781,2.5775977913659087,1.515626047328946,0.0,1.312247709349159,2.3421312860358037,4.315671526541092,4.253236426203556,4.503225047310411,4.4344670297340185
krl,4.204521116296478,4.279233595175625,4.751572850123576,4.151537114964226,4.358358495645365,4.138644661833066,4.30170088901973,4.542870761924161,2.3545098707929037,2.3427901646678264,2.643931967120373,1.7536391413203016,1.312247709349159,0.0,2.049501739143682,4.285937291372073,4.222880584829116,4.374960811546175,4.43425275506586
vep,4.204854719890952,4.0799998847100305,4.560021098064575,4.142991665828407,4.424485254333932,4.223251439918105,4.371284701847362,4.509096634217994,2.1712794191694447,2.2173548705091757,2.828794203964708,2.2406680741505958,2.3421312860358037,2.049501739143682,0.0,4.564487820284921,4.602684930809931,4.74128857592272,4.5669962588651885
ka,4.835723715913401,4.8253322259503,5.148572877739545,4.575198211611253,4.799932307359843,4.6915455116542075,4.851819651489304,5.096920406993223,4.4397596230929555,4.401489548388523,4.6411938437300755,4.38022931175105,4.315671526541092,4.285937291372073,4.564487820284921,0.0,2.9507032571587057,3.522001351908095,4.381793193322316
xmf,4.799255877564702,4.8630985436132494,5.333674849116026,4.72876106936444,4.866584219157749,4.587470523997339,4.831197757852171,5.137469973923179,4.412033772327889,4.399916146985783,4.5566592721004495,4.305129143732088,4.253236426203556,4.222880584829116,4.602684930809931,2.9507032571587057,0.0,2.319336726246327,4.358114484038127
lzz,4.944170463682659,4.998893220600538,5.380734712442032,4.942136379880282,4.960768689305275,4.641417963114517,4.973229453473356,5.144244848288966,4.589569615781955,4.586970854348902,4.549605475824988,4.5135826098021194,4.503225047310411,4.374960811546175,4.74128857592272,3.522001351908095,2.319336726246327,0.0,4.534086923425159
sva,4.603931922985324,4.607960001163884,5.085231529527647,4.701752474871408,4.723578290086712,4.52685587066655,4.762505994544832,4.931555896677848,4.419238407223845,4.393788625391995,4.557350975615539,4.492976535330905,4.4344670297340185,4.43425275506586,4.5669962588651885,4.381793193322316,4.358114484038127,4.534086923425159,0.0
