,de,lb,nl,af,en,yi,fy,nn,sv,da,is,fo,lv,lt,pl,cs,sk,sl,bg,mk,be,uk,ru,la,pt,gl,es,ca,oc,fr,it,ro,ga,cy,br,gd,gv,sq,hy,el,sa,hi,ur,as,bn,fa,tg,ps,et,vro,liv,vot,fi,krl,vep,se,hu,tr,az,ba,mn,ka,xmf,lzz,sva,ar,mt,he,my,bo,ny,zu,id,ms,tl,ta,kn,ml,tcy,bfq,kfa,xub,yea,tcx,kfe,te,gon,kff,kxv,kfb,pci,gdb,brh,kru,mjt,ja,ko,vi,lo,th,za
de,0.0,1.960442146361264,2.2592974792250153,2.6962984647410884,3.3547736214402875,1.3507631257631256,2.687548091321677,3.182230293247242,2.8913395246728584,2.914312775940684,3.7189613459540998,3.6738268097643085,3.853424006549008,4.323414100218223,4.265420141571037,4.097406970574512,4.117878240480981,3.989945962793645,3.9553491943026837,4.2354851552768205,4.291357316995497,4.322694006208498,4.225733110153399,4.199001652797465,4.224038583753607,4.08481952988532,4.09967135595627,4.069716502036942,4.2268072713194655,4.359850357301813,4.191218875785914,4.135363207645815,4.6210490582649655,4.090523308890657,4.1662444698159,4.654361231361232,4.38992588219861,4.173693623161707,4.202725910332658,4.0806788185359615,4.3669160839160845,4.380369787816597,4.362871223758321,4.289073238791284,4.398800505050505,4.007506200695856,3.868888275467222,4.4050865800865795,4.2020650101532455,4.212072920054591,4.284683740843162,4.234365071321594,4.2917389105794905,4.204521116296479,4.204854719890951,4.445590862714151,4.371051935809288,4.579310212204947,4.52618389546961,4.6678799270904525,4.469150188770442,4.835723715913401,4.7992558775647,4.944170463682659,4.603931922985322,4.322391711008267,4.32878212769517,4.124901466692512,4.8066823624221575,4.994294366212174,4.429445194055584,5.398959905342886,4.024913443530466,4.064651892225421,4.609104852435905,4.4444911381135865,4.546582329235392,4.555505846194621,4.535755358586991,4.4727209767532345,4.502333833966487,4.614852575229226,4.46864404209765,4.579450934552973,4.5359487168160655,4.664830464320262,4.556023426686692,4.76333261409792,4.453419156600975,4.523946410065858,4.597525178902732,4.324356171039843,4.110290769637342,4.438346290897312,4.480356081826669,4.722767991645544,4.888394248394248,4.608643898836207,4.506054213016237,4.558473270715537,4.509050261162936
lb,1.960442146361264,0.0,2.4948531329781334,2.6549230910933037,3.3140308547661474,2.0126984126984127,2.4396450771450766,3.3190977721465527,2.935697751322751,3.1769504569504567,3.7894369981869973,3.744193046536798,3.9067374511453443,4.483890007699533,4.335983807858808,4.126063191194769,4.379901097720245,4.042424719844074,4.041438606093778,4.34172163815021,4.470436242678889,4.420591491841493,4.355703139453141,4.271352531397175,4.265892738214165,4.282204116638079,4.196862911721404,4.079431371098038,4.0042436267436265,4.265476745476745,4.230465240671664,4.1865170589308525,4.552306869717584,4.153095470837407,4.06223383662408,4.681394492032791,4.3863177910052915,4.113968144649964,4.158930296756384,4.287920100244046,4.543122910228175,4.33775805893453,4.606808035714286,4.389123112337398,4.271486510122874,4.129824439126764,3.7472329690511503,4.40863319686849,4.288015641765644,4.310077861952862,4.355993566618568,4.320736323861325,4.423256882006883,4.369726569726571,4.2189001276501275,4.70780562030562,4.374860364731055,4.656366858450192,4.600461560297624,4.732057736271218,4.387797551032845,4.973517570392569,5.033479662261172,5.075068727568726,4.598012728012728,4.497651293151294,4.6689839120690175,4.125164435048156,4.816401021006285,5.080809443082169,4.944009576282305,5.571702424559567,4.282961603613778,4.080386748083376,4.697067807309404,4.8020115686782345,4.885506997411759,4.8886523088904035,4.835117724893636,4.922018919150067,4.789903967284921,4.87421207799359,4.730040814564624,4.623671390338055,4.675011100011101,5.0205106181296655,4.521132527084907,4.990256965256966,4.778131882737145,4.630866488009346,4.5001740763645515,4.48063858540049,4.172799492757475,4.585383311573786,4.80798460280253,4.8350017959568525,4.807608082608081,4.456068312193633,4.34092574092574,4.417968617327592,4.2947420634920634
nl,2.2592974792250153,2.4948531329781334,0.0,1.6433580536039554,2.975312246727199,2.091781135531136,2.0483745813934493,3.1053855748771007,2.547327672327672,2.6896240925310693,3.5968246930203454,3.741583994708994,3.9300366548134407,4.610638645432459,4.395683369234093,4.210097319783188,4.262795765877956,4.024750617300286,3.9505175487733615,4.195399931858265,4.322990164971298,4.279578473056734,4.3887759315295565,4.076182645161702,4.3733521803469975,4.320329232171337,4.301550187863036,3.857450713804307,4.203429768063915,4.255401125304038,4.250396476583626,3.9176311007832765,4.6286552620359425,3.972562849093463,4.263387059369202,4.585544973544972,4.2047474747474745,4.101038884283567,4.304410465451075,4.115356733213876,4.557230880230881,4.139904067563643,4.167929292929293,4.227327225823468,4.058547595566826,4.230782569920503,4.001806417266943,3.9924008170761396,4.110739984653026,4.082868831856471,4.134504451533437,4.256364301291839,4.273912145288961,4.279233595175625,4.07999988471003,4.63537204804328,4.227429847929846,4.297288554525396,4.423694493337351,4.472870216667209,4.234209285791566,4.8253322259503,4.8630985436132494,4.998893220600537,4.6079600011638835,4.372173591155072,4.259652424869817,4.035034782795975,4.815160349854226,4.883949060832624,4.6776325406195545,5.5551300649704904,4.089471462343805,4.106681308887192,4.770168203889133,4.559430308920104,4.68063801278087,4.7367190066169655,4.813440060506386,4.683523525459007,4.6509976984466785,4.871268808056023,4.596312049920297,4.4330542190236075,4.694471882992292,4.869818560124682,4.590893262066731,4.757232336824174,4.700689613416886,4.538186544181441,4.383268545513445,4.478680758017493,4.309774689800466,4.489985751210241,4.600271328057311,4.6861903213944025,4.6865482940482925,4.5192564700257,4.454365079365078,4.551141470213638,4.470696400625978
af,2.6962984647410884,2.6549230910933037,1.6433580536039554,0.0,2.93103044496487,2.173776455026455,2.1123168498168496,3.4978605935127676,3.1022974101921474,2.9718452380952383,3.960444018640741,4.127227158806106,3.8450928457507407,4.806600700886414,4.323286731483453,4.038669432419432,4.3191678691678685,3.9055772005772007,3.908583505866114,4.433789682539682,4.166112012987014,4.379189298861429,4.2658605965983005,4.4255026047398935,4.536781609195401,4.231951286261631,4.561995093029576,4.050009620009621,4.067294973544974,4.437256049960968,4.614334604789151,4.252396514161219,4.562273739905319,4.204407780428188,4.240404040404041,4.857608100711548,4.364838435374149,4.15937641723356,4.638404882154882,4.240674603174604,4.684597295708406,4.371988795518207,4.358577533577534,4.317120741577264,4.430820105820105,4.43610058922559,4.3195707070707074,4.068445616883118,4.38461961535732,4.389240768339129,4.438544106167058,4.760620254062877,4.725060367683318,4.655971305561469,4.541783171291367,4.746302308802309,4.24989417989418,4.374332611832611,4.362981376262627,4.420652557319223,4.736020923520923,5.0802900196342815,5.131325687063392,5.130589856409529,4.757700541716934,4.4407770562770565,4.425809523809524,4.3526984126984125,4.4692460317460325,5.023415473415475,4.733065880479674,5.808209883209884,4.050653594771242,4.022974537037036,4.563575605680869,4.723931398931398,4.926543426543427,4.720347820347821,4.880904605904605,4.769627825877825,4.732344157344157,4.914178539178539,4.733465608465608,4.777800202800203,4.917662142662142,4.878230178230179,4.598208923208924,4.767760617760618,4.730281385281384,4.8564085314085315,4.150868725868727,4.5580759330759335,4.268763893763893,4.947133497133497,4.794924294924295,4.694725986573812,5.13707054439813,4.2817980042556325,4.284139784946235,4.45028921172989,4.533367346938776
en,3.3547736214402875,3.3140308547661474,2.975312246727199,2.93103044496487,0.0,3.060943223443223,3.1039478341365117,3.351047398928755,3.3015712682379363,3.1874641508362433,3.999941480088538,3.8554033929033937,4.133715342197485,4.907947522122779,4.644221789703465,4.419688819034369,4.537332720551897,4.412868753762794,4.3488750052703535,4.483189611314611,4.719982146660837,4.594334208464642,4.654614199541738,4.437141726801415,4.538506269205751,4.271524564616671,4.4254877648732425,4.251493534090221,4.411759581881533,4.383411585717412,4.6598546859720065,4.27709080372124,4.559051759477896,4.272094553217005,4.408184523809524,4.564182299182299,4.293261183261183,4.268304243038287,4.496645486493203,4.654561708133137,4.72688208088208,4.651091717581079,4.540525648186938,4.403232836503514,4.422009080662928,4.448350729730036,4.253490478819426,4.647476549424603,4.657122131759815,4.6301977544731185,4.575223233556567,4.657169695575493,4.711133378162364,4.7515728501235746,4.560021098064578,4.9375269327324105,4.373979978354977,4.648117282327809,4.779379694379693,4.706355465753962,4.646143097408919,5.148572877739545,5.333674849116026,5.380734712442032,5.085231529527647,4.747060484097522,4.356170922475269,4.465792250866877,4.6763005418617665,5.006100083326111,4.855556961076445,5.803485049229732,4.360759571397868,4.425423269540917,5.036645008738032,4.8566543717053925,4.898009983214064,5.082296473367901,5.167308400216563,5.038728983083821,4.92967834319875,4.918831092078943,4.84812927622206,4.864902642708765,5.007017387374532,5.091135508482447,4.689459095326441,5.082344271374883,4.740727252545435,4.838540569407917,4.194181243926144,4.55054775156816,4.617913873068512,4.831177524289768,5.022250891698671,4.919853464751426,5.041046371046372,4.5056226252380105,4.533992273549235,4.444676200088573,4.347222222222223
yi,1.3507631257631256,2.0126984126984127,2.091781135531136,2.173776455026455,3.060943223443223,0.0,2.148576097105509,2.7941493691493693,2.766045991045991,2.6545653998779,3.479039923751462,3.6740450136283473,4.131378066378066,4.347910243877985,4.270415268492192,4.108605230239845,4.17493228993229,4.004305445121773,4.148697779185584,4.57092151675485,4.3243795093795105,4.2535554723054725,4.421209826498289,4.0851132909643555,4.421374298778145,4.212179043179043,4.242625097125096,4.2047846489022955,4.528476946334091,4.473763042513043,4.324486046361046,4.24921497584541,4.45303823953824,3.999236010902678,3.5580687830687827,4.3008297258297254,4.240530303030304,4.185791446208114,4.17236722972017,4.262945387945387,4.5345897753040605,4.34506222943723,4.392532467532468,4.5128048780487795,4.1344820384294065,4.178936596283536,4.149963924963925,4.1337202069960695,4.246044233544233,4.2548659673659674,4.394009462759463,4.371842740592741,4.362078786598017,4.298585442335443,4.212348762348763,4.79004662004662,4.21590145965146,4.635698953823954,4.669097737279556,4.721311327561327,4.509452947845804,4.997520535020533,4.899653178018562,5.003519930923777,4.601542207792208,4.570791519086973,4.2626984126984135,4.604183201058201,4.625515873015871,4.898184974747475,4.78168202764977,5.423958834375501,4.120558608058609,4.343343181641054,4.464338624338624,4.820834335417669,4.813619790703124,4.696121933621934,4.755277014652016,4.894213167784597,4.890870549203883,4.933070170570172,4.826977112393779,4.588699494949494,4.753760282926949,4.836358780108781,4.675824715408049,4.829386123136122,4.675988142292489,4.8390074431741095,4.168637766554433,4.544511584094916,4.438642376142374,4.622001763668431,4.592738896905564,4.642425855797949,4.948852924852925,4.58220864103217,4.780542754736303,4.8130616050616055,4.549092970521541
fy,2.687548091321677,2.4396450771450766,2.0483745813934493,2.1123168498168496,3.1039478341365117,2.148576097105509,0.0,3.166186095650381,2.676633126633126,2.9216528216528213,3.271214163195295,3.9914010232192045,3.4899178456870756,4.077650632196087,4.231925726265348,3.9861202738561223,3.9789197197360466,3.813372615039282,3.7121470920383963,3.841143578643578,4.236524108075832,4.197380763890199,4.2366130201035865,4.034467995317051,4.247798701298702,4.196182983682983,4.432911750558809,3.9939872485790855,3.7626135302605896,4.4261086921464265,4.137676574633097,4.005833333333333,4.461671335200747,3.8876842963799483,4.029030910609857,4.378968253968255,4.332763975155279,3.7322939822939816,3.8938986589929976,4.150693000693001,4.771491240241239,4.156927857496039,3.9935185185185187,4.258987308987309,4.40952380952381,4.243833880765697,4.348864912864914,3.719096181596181,4.404487127128637,4.332765452576774,4.242813580549429,4.38085981104849,4.250101418497645,4.309942416074492,4.214557978708921,4.409415584415584,4.2895321135887166,4.674499244142102,4.801098009133724,4.608955627705628,4.71988554374918,4.938795428889769,4.841866781017725,4.946016509695755,4.453171985247455,4.4357545555219975,4.51326479076479,4.227450525664812,4.848758186258187,4.956952861952861,4.608227513227514,5.390082371332372,4.183749055177627,4.279375737898464,4.6687925170068025,4.475493863775115,4.497067515817516,4.685833784271284,4.458812108030858,4.818021763183054,4.577497068903318,4.5698765644078145,4.486378291847042,4.577241161616161,4.549720245032744,4.56192201895327,4.529944534632033,4.791617063492063,4.5261808367071525,4.3316197691197695,4.302752976190476,4.2711253156565645,4.255115225276516,4.40382959054834,4.347203057359308,4.9044869944869935,4.865305194805194,4.581421356421357,4.384708049886621,4.507384491818452,4.308161976911976
nn,3.182230293247242,3.3190977721465527,3.1053855748771007,3.4978605935127676,3.351047398928755,2.7941493691493693,3.166186095650381,0.0,1.5630841380841383,1.7491612554112559,2.7281476997578697,2.6313650441699226,4.108033324699992,4.296366519283186,4.227939762685525,4.243223349155552,4.174706794387646,4.278956845623512,4.05496459096459,3.738630480630481,4.195013705430373,4.447028583469262,4.357481454515354,4.337785800058527,4.355166324903167,4.3021933621933615,4.292451942898372,4.10429847929848,3.900198412698413,4.495122532834397,4.253479015743167,4.316845569396589,4.64831523252576,4.154939335041376,4.303548085901027,4.767080745341615,4.71203007518797,3.9355485355485356,4.414043996938735,4.290964590964591,4.796200154012653,4.076564723155632,4.014814814814814,4.517495553542066,4.444393305107591,4.120188258453564,4.109728234728234,4.3640744029632925,4.371768297615755,4.3026891187908145,4.615284197911316,4.4501473573507475,4.3651218837659505,4.396680485239808,4.380587256434714,4.749072880524493,4.223596238069923,4.6354215537548855,4.722824675324675,4.664311693035097,4.543301587301587,5.046926068835342,5.196418493786916,5.214773822668559,4.817446254310661,4.531035574402922,4.185501843835177,4.79163216011042,4.734019981901337,5.247863247863249,4.655276841214341,5.539042094856048,4.311842231842231,4.559948006538916,5.07859477124183,4.696777621777621,4.6812187812187815,4.613093513093514,4.5648453648453655,4.77042165350989,4.644987519987519,4.836282261282261,4.561371923871924,4.430364225952461,4.640083512142335,4.9720316999728755,4.482429507429506,4.789831714831715,4.452015496580715,4.735466410466411,4.316926991926992,4.435653835653836,4.35673092339759,4.6078060078060075,4.830030030030028,4.783717877866816,4.93185682630127,4.778766360345308,4.895342938311688,4.658743939676143,4.50301569345687
sv,2.8913395246728584,2.935697751322751,2.547327672327672,3.1022974101921474,3.3015712682379363,2.766045991045991,2.676633126633126,1.5630841380841383,0.0,1.5529459776334777,3.1741851216210186,3.277817737817738,4.065905715905717,4.51524313166104,4.285524968858302,4.148935307563626,4.065152537520958,3.9724867724867714,4.004927178764387,3.7645104316979325,4.145060897883479,4.218402703659114,4.287277394969703,4.27834571089288,4.373245833114256,4.270020923520924,4.2242488824307,3.9826392229170016,3.8257983056370146,4.300781317447983,4.253066044038267,4.063006438006439,4.4600170597834135,4.122693476114528,4.388044131794132,4.477912698412698,4.001335656213706,4.050088841506753,4.3718730863557544,4.141577509791794,4.457691197691197,4.30588240673468,4.238849206349206,4.253852038189387,4.0985399103820175,4.186531446082009,4.193415612165612,4.121475842165498,4.2451621265723825,4.195450228783562,4.21363652966217,4.281038097704764,4.247016445093369,4.197988739655406,4.228196803196805,4.57299323769912,4.35719234059942,4.629908910533912,4.829514845423936,4.565687057651344,4.554242424242425,4.749931704098371,4.819165906557208,5.046530015877841,4.680240831964968,4.426497814483253,4.2694525429219325,4.384700085268268,4.758315461297114,5.042809665082392,4.4968070056305365,5.526321253702208,4.117263544536272,4.390395332636712,4.8496905438311675,4.502352529625256,4.600637746092292,4.630325524643707,4.688534865807594,4.634101392434726,4.452482870664689,4.585309032668657,4.43082695082695,4.444497463815645,4.519171443035078,4.80363655704565,4.419049258821987,4.641760596306051,4.362351405208549,4.469222549336185,4.2199527744982275,4.476821242730335,4.350690207228667,4.394187378278287,4.473473916655734,4.7710668173434145,4.898227210032764,4.4612696426916605,4.480466285127303,4.498050955161046,4.48015164399093
da,2.914312775940684,3.1769504569504567,2.6896240925310693,2.9718452380952383,3.1874641508362433,2.6545653998779,2.9216528216528213,1.7491612554112559,1.5529459776334777,0.0,3.0777918679081457,3.175157418339236,4.067790003206669,4.451185878797819,4.350857561904072,4.172683526951821,4.2245328104238995,3.946796148296148,3.8745146326541677,3.8135378510378506,4.2923271564116625,4.2867518786123435,4.348106458571575,4.161937252562251,4.330273114419456,4.009237417910888,4.084556257582573,3.786247500063289,4.058634421134421,4.225376815025252,4.207677531395481,4.040919871954354,4.437072686408969,4.011570976722493,3.9963083213083217,4.506626984126984,4.29943783068783,3.9783935849725327,4.270232740349926,4.259406696363219,4.591533879831753,4.261628847343132,4.335347222222221,4.1556550692626635,4.28412370457825,4.226500224921277,4.134758075258075,4.206582155218518,4.049414194763033,4.1211886304909555,4.141079398637538,4.187658702193585,4.197486772486773,4.225401966681036,4.097556792905629,4.690604592167093,4.351921997755331,4.520449954709214,4.634607819881791,4.41556150639484,4.235237961626852,4.715404995774352,4.810365502553003,4.833349273465552,4.661410445712772,4.441392920804684,4.247767857142857,4.408016774891774,4.679999255594494,5.004212290976997,4.744689325349702,5.51107106568645,4.155157566447889,4.264239702949379,4.957545280390108,4.250063512387457,4.511567892201696,4.562866945261311,4.612864678357636,4.452954922357908,4.363169420563787,4.553231862034681,4.338246495567924,4.669469847100337,4.4582185926013596,4.636325947365716,4.378857996463631,4.637220291445643,4.3993005010862145,4.521497418856574,4.2502850435949036,4.429162347824319,4.401458205331445,4.48632857752576,4.564551176523008,4.717065398126004,4.8365744219049995,4.423094608213657,4.236765512265511,4.325646393679182,4.129687088510618
