,qʰ,œ̃,ɥ,sʲ,h,ɨ,dʑ,kʰ,e̞,l,t̪,ʒʲ,ʌ,g,tɕ,ʍ,pʲ,s,fʲ,dʒ,n,tʼ,tʲ,ɹ,ç,d,z,tsʲ,x,ʏ,ʂ,p,i,tʃ,ɲ,ɕ,pʼ,d̪,dz,w,r,ɔ,ʎ,f,ʐ,cʰ,ø,ʋ,pʰ,dʲ,t,y,ʁ,ʃ,ə,ɜ,v,e,ɝ,ɔ̃,ʔ,kʲ,zʲ,c,tʰ,tʃʼ,ŋ,ä,ɒ,ð,qʼ,nʲ,ɛ̃,ʋʲ,k,ɑ̃,χ,ɚ,xʷ,θ,gʲ,o,m,æ,ɪ,ts,u,a,ʒ,ɣ,bʲ,ʝ,œ,ɛ,b,kʼ,ts̪,ɑ,ɫ,j,mʲ,lʲ,ʑ,ʊ,tsʼ,ɐ,ɤ,ɵ,ɦ,w̃,rʲ,tʃʲ,j̃,vʲ,
qʰ,0.0,22.0,20.0,15.0,11.0,18.0,17.0,2.0,20.0,23.0,9.0,18.0,18.0,9.0,14.0,17.0,11.0,13.0,15.0,14.0,15.0,15.0,11.0,18.0,12.0,12.0,16.0,13.0,10.0,23.0,13.0,9.0,19.0,11.0,14.0,16.0,15.0,12.0,14.0,20.0,17.0,20.0,22.0,13.0,16.0,4.0,22.0,18.0,5.0,14.0,9.0,21.0,11.0,13.0,19.0,19.0,16.0,20.0,21.0,20.0,7.0,8.0,18.0,8.0,5.0,17.0,12.0,20.0,21.0,16.0,10.0,17.0,20.0,20.0,6.0,19.0,8.0,21.0,14.0,13.0,11.0,20.0,15.0,21.0,21.0,11.0,19.0,21.0,16.0,13.0,14.0,15.0,22.0,20.0,12.0,12.0,11.0,19.0,25.0,17.0,17.0,25.0,19.0,23.0,17.0,20.0,18.0,21.0,14.0,21.0,19.0,13.0,18.0,18.0,13.0
œ̃,22.0,0.0,10.0,20.0,17.0,10.0,17.0,20.0,6.0,19.0,19.0,16.0,7.0,13.0,20.0,18.0,14.0,19.0,16.0,15.0,12.0,24.0,19.0,14.0,15.0,15.0,16.0,21.0,17.0,9.0,19.0,17.0,9.0,18.0,8.0,19.0,23.0,16.0,17.0,15.0,16.0,5.0,15.0,19.0,16.0,18.0,5.0,14.0,21.0,16.0,18.0,7.0,16.0,17.0,7.0,6.0,16.0,7.0,8.0,2.0,16.0,18.0,17.0,14.0,22.0,24.0,10.0,8.0,7.0,17.0,24.0,13.0,2.0,11.0,16.0,6.0,19.0,9.0,17.0,20.0,15.0,7.0,11.0,6.0,11.0,20.0,9.0,7.0,14.0,14.0,11.0,12.0,3.0,5.0,14.0,22.0,21.0,9.0,21.0,10.0,8.0,20.0,16.0,9.0,26.0,7.0,9.0,6.0,14.0,13.0,17.0,20.0,8.0,13.0,16.0
ɥ,20.0,10.0,0.0,9.0,10.0,8.0,9.0,18.0,10.0,10.0,13.0,7.0,11.0,11.0,12.0,7.0,9.0,11.0,6.0,11.0,7.0,20.0,12.0,5.0,10.0,11.0,8.0,11.0,10.0,8.0,13.0,11.0,7.0,14.0,7.0,10.0,17.0,10.0,10.0,4.0,8.0,13.0,10.0,8.0,10.0,18.0,6.0,3.0,15.0,9.0,14.0,4.0,9.0,12.0,11.0,12.0,5.0,9.0,14.0,15.0,14.0,12.0,6.0,14.0,18.0,20.0,7.0,13.0,14.0,6.0,22.0,5.0,13.0,1.0,14.0,14.0,12.0,13.0,14.0,9.0,9.0,11.0,4.0,12.0,7.0,13.0,9.0,12.0,9.0,7.0,6.0,7.0,8.0,11.0,8.0,20.0,12.0,12.0,12.0,5.0,2.0,8.0,7.0,8.0,19.0,13.0,9.0,7.0,7.0,7.0,6.0,12.0,8.0,3.0,11.0
sʲ,15.0,20.0,9.0,0.0,6.0,14.0,6.0,13.0,15.0,13.0,7.0,5.0,15.0,12.0,3.0,10.0,7.0,2.0,3.0,9.0,10.0,12.0,4.0,8.0,6.0,9.0,5.0,2.0,6.0,15.0,6.0,9.0,13.0,6.0,13.0,1.0,15.0,10.0,7.0,13.0,8.0,17.0,16.0,5.0,9.0,13.0,17.0,10.0,13.0,7.0,6.0,15.0,11.0,4.0,16.0,16.0,8.0,15.0,14.0,20.0,9.0,7.0,3.0,9.0,10.0,12.0,13.0,17.0,18.0,7.0,17.0,8.0,18.0,8.0,9.0,19.0,8.0,14.0,10.0,4.0,10.0,17.0,13.0,16.0,13.0,4.0,15.0,16.0,7.0,9.0,10.0,9.0,17.0,15.0,12.0,15.0,5.0,16.0,15.0,11.0,11.0,11.0,4.0,19.0,10.0,17.0,15.0,18.0,9.0,16.0,6.0,4.0,14.0,6.0,9.0
h,11.0,17.0,10.0,6.0,0.0,9.0,12.0,10.0,12.0,13.0,7.0,9.0,12.0,9.0,9.0,7.0,9.0,4.0,5.0,9.0,10.0,13.0,9.0,8.0,2.0,10.0,7.0,8.0,2.0,14.0,4.0,7.0,9.0,6.0,9.0,7.0,13.0,10.0,9.0,10.0,8.0,14.0,12.0,3.0,7.0,10.0,13.0,8.0,11.0,12.0,7.0,11.0,6.0,4.0,12.0,12.0,6.0,11.0,14.0,17.0,4.0,8.0,9.0,6.0,11.0,12.0,9.0,13.0,15.0,6.0,13.0,12.0,15.0,10.0,6.0,16.0,3.0,14.0,6.0,3.0,11.0,13.0,10.0,13.0,12.0,6.0,11.0,13.0,7.0,5.0,12.0,5.0,14.0,12.0,10.0,12.0,6.0,13.0,15.0,7.0,12.0,15.0,10.0,14.0,12.0,13.0,11.0,13.0,3.0,13.0,10.0,8.0,10.0,8.0,5.0
ɨ,18.0,10.0,8.0,14.0,9.0,0.0,12.0,16.0,4.0,11.0,16.0,10.0,5.0,9.0,15.0,11.0,17.0,12.0,13.0,10.0,8.0,21.0,17.0,6.0,8.0,12.0,9.0,16.0,8.0,5.0,12.0,15.0,1.0,13.0,5.0,13.0,21.0,13.0,11.0,8.0,9.0,7.0,8.0,12.0,9.0,16.0,5.0,7.0,19.0,14.0,15.0,3.0,7.0,11.0,3.0,4.0,9.0,3.0,6.0,10.0,13.0,14.0,11.0,12.0,19.0,19.0,5.0,6.0,9.0,9.0,20.0,10.0,8.0,8.0,12.0,10.0,10.0,5.0,12.0,12.0,11.0,5.0,8.0,6.0,3.0,14.0,3.0,7.0,8.0,5.0,14.0,5.0,7.0,5.0,12.0,18.0,15.0,7.0,13.0,3.0,10.0,13.0,10.0,5.0,20.0,5.0,3.0,4.0,6.0,11.0,11.0,15.0,6.0,10.0,12.0
dʑ,17.0,17.0,9.0,6.0,12.0,12.0,0.0,15.0,13.0,14.0,10.0,5.0,15.0,8.0,3.0,17.0,9.0,9.0,9.0,6.0,9.0,15.0,6.0,9.0,10.0,6.0,6.0,4.0,12.0,15.0,13.0,12.0,11.0,9.0,9.0,5.0,18.0,7.0,4.0,14.0,9.0,17.0,14.0,12.0,10.0,13.0,15.0,11.0,16.0,3.0,9.0,13.0,11.0,11.0,14.0,14.0,9.0,13.0,12.0,19.0,11.0,9.0,3.0,9.0,13.0,15.0,11.0,15.0,18.0,8.0,19.0,6.0,15.0,8.0,11.0,18.0,14.0,12.0,16.0,11.0,6.0,17.0,12.0,14.0,13.0,7.0,15.0,14.0,8.0,9.0,6.0,7.0,15.0,13.0,9.0,17.0,8.0,16.0,16.0,9.0,9.0,11.0,2.0,17.0,13.0,15.0,15.0,16.0,9.0,17.0,6.0,6.0,12.0,6.0,16.0
kʰ,2.0,20.0,18.0,13.0,10.0,16.0,15.0,0.0,18.0,21.0,8.0,16.0,16.0,7.0,12.0,15.0,9.0,11.0,14.0,12.0,13.0,13.0,9.0,16.0,10.0,10.0,14.0,11.0,8.0,21.0,11.0,7.0,17.0,9.0,12.0,14.0,13.0,11.0,12.0,18.0,15.0,18.0,20.0,12.0,14.0,2.0,20.0,17.0,3.0,12.0,7.0,19.0,13.0,11.0,17.0,17.0,15.0,18.0,19.0,18.0,6.0,6.0,16.0,6.0,3.0,15.0,10.0,18.0,19.0,15.0,12.0,15.0,18.0,19.0,4.0,17.0,10.0,19.0,12.0,12.0,9.0,18.0,13.0,19.0,19.0,9.0,17.0,19.0,14.0,11.0,12.0,13.0,20.0,18.0,10.0,10.0,10.0,17.0,23.0,15.0,15.0,23.0,17.0,21.0,15.0,18.0,16.0,19.0,13.0,19.0,17.0,11.0,16.0,17.0,13.0
e̞,20.0,6.0,10.0,15.0,12.0,4.0,13.0,18.0,0.0,14.0,17.0,11.0,3.0,11.0,16.0,15.0,17.0,14.0,15.0,11.0,11.0,22.0,17.0,9.0,10.0,13.0,11.0,17.0,12.0,7.0,14.0,17.0,3.0,14.0,7.0,14.0,23.0,14.0,13.0,12.0,11.0,5.0,10.0,15.0,11.0,16.0,3.0,10.0,21.0,14.0,16.0,5.0,11.0,12.0,1.0,2.0,12.0,1.0,4.0,8.0,14.0,16.0,12.0,12.0,20.0,20.0,9.0,4.0,7.0,12.0,22.0,12.0,4.0,10.0,14.0,8.0,14.0,3.0,16.0,15.0,13.0,5.0,12.0,2.0,5.0,16.0,7.0,3.0,9.0,9.0,14.0,7.0,3.0,1.0,14.0,20.0,17.0,5.0,16.0,5.0,12.0,15.0,11.0,7.0,22.0,3.0,3.0,4.0,9.0,15.0,12.0,16.0,8.0,12.0,11.0
l,23.0,19.0,10.0,13.0,13.0,11.0,14.0,21.0,14.0,0.0,15.0,12.0,14.0,14.0,17.0,13.0,19.0,11.0,14.0,12.0,7.0,20.0,16.0,5.0,14.0,11.0,8.0,15.0,13.0,16.0,15.0,17.0,11.0,15.0,11.0,15.0,23.0,12.0,10.0,10.0,8.0,16.0,4.0,12.0,12.0,22.0,15.0,7.0,21.0,13.0,14.0,13.0,12.0,13.0,14.0,15.0,9.0,13.0,17.0,18.0,17.0,19.0,10.0,18.0,18.0,21.0,10.0,16.0,17.0,8.0,25.0,9.0,17.0,9.0,17.0,17.0,15.0,16.0,17.0,11.0,16.0,14.0,10.0,16.0,14.0,13.0,12.0,16.0,10.0,10.0,16.0,11.0,17.0,15.0,14.0,23.0,14.0,15.0,2.0,9.0,12.0,2.0,12.0,16.0,19.0,16.0,12.0,15.0,10.0,13.0,10.0,17.0,12.0,11.0,14.0
